TMS320F2800157-Q1

80 pin
EPWM1_A - 63
EPWM1_B - 62
EPWM2_A - 61
EPWM2_B - 60
EPWM3_A - 59
EPWM3_B - 74
EQEP1_A - 4
EQEP1_B - 3
EQEP1_Index - 2
EQEP1_STROBE - 1
CANA_RX - 50
CANA_TX - 51
A17/C17 - 33
A18/C18 - 34
A19/C19 - 35
A20/C20 - 36

64 pin
EPWM1-A - 52
EPWM1_B - 51
EPWM2_A - 50
EPWM2_B - 49
EPWM3_A - 48
EPWM3_B - 61
EQEP1_A - 9
EQEP1_B - 6
EQEP1_Index - 8
EQEP1_STROBE - 7
CANA_RX - 30
CANA_TX - 29
A0/C15 - 15
A1 - 14
A2/C9 - 9
A3/C5 - 8


F29P329SM-Q1

EPWM1_A - 88
EPWM1_B - 89
EPWM2_A - 90
EPWM2_B - 91
EPWM3_A - 92
EPWM3_B - 93
A14/B14/C14 - 21
A15/B15/C15 - 20
B0/C26 - 23
B1/C27 - 22
